setting,policy,n,target,estimator,mse,mse_se,bias,rmse,n_used,n_total,coverage,coverage_se,mean_width
probit_dep_well,entropy_vector,20,q0.5,mle,1.1791609468980122,0.1058844099667026,0.0021440999212343284,1.0858917749472146,250,250,,,
probit_dep_well,entropy_vector,20,q0.95,mle,4.629729859462276,0.38222561629286583,-0.7262224847854837,2.151680705741973,250,250,,,
probit_dep_well,entropy_vector,20,q0.99,mle,8.160667411589332,0.6935094473192455,-1.027998660559695,2.856688189423083,250,250,,,
probit_dep_well,entropy_vector,20,q0.01,bayes,,,,,0,250,,,
probit_dep_well,entropy_vector,20,q0.05,bayes,,,,,0,250,,,
probit_dep_well,entropy_vector,20,q0.01,mle,,,,,0,250,,,
probit_dep_well,entropy_vector,20,q0.05,mle,,,,,0,250,,,
probit_dep_well,entropy_vector,30,mu,bayes,0.7634441815909254,0.06673688027230427,-0.003869708829573085,0.873752929374732,250,250,0.948,0.014042222046385685,3.6219561260321296
probit_dep_well,entropy_vector,30,sigma,bayes,0.722997365196838,0.06508028439175727,-0.10151371152828371,0.850292517429642,250,250,0.944,0.014541526742402262,4.245143245103238
probit_dep_well,entropy_vector,30,q0.5,bayes,0.7634441815909254,0.06673688027230427,-0.003869708829573085,0.873752929374732,250,250,0.948,0.014042222046385685,3.6219561260321296
probit_dep_well,entropy_vector,30,q0.95,bayes,2.714585520404327,0.22738437465596198,-0.15949735988386363,1.6475999272894883,250,250,0.952,0.013519763311537675,7.890743072977897
probit_dep_well,entropy_vector,30,q0.99,bayes,4.670406142536384,0.39996921618963466,-0.23156398664622835,2.161112246630513,250,250,0.948,0.014042222046385685,10.538680438074572
probit_dep_well,entropy_vector,30,mu,mle,0.7961547528193116,0.07010876626368892,-0.009306808963648237,0.892275043257017,250,250,,,
probit_dep_well,entropy_vector,30,sigma,mle,0.8469464515846822,0.0684184822316646,-0.32866883418892495,0.9202969366376714,250,250,,,
probit_dep_well,entropy_vector,30,q0.5,mle,0.7961547528193116,0.07010876626368892,-0.009306808963648237,0.892275043257017,250,250,,,
probit_dep_well,entropy_vector,30,q0.95,mle,3.0206544522158256,0.2464085892096285,-0.5499189329452168,1.738003006963977,250,250,,,
probit_dep_well,entropy_vector,30,q0.99,mle,5.285049844361703,0.4330920007061279,-0.7739048526425384,2.298923627344263,250,250,,,
probit_dep_well,entropy_vector,30,q0.01,bayes,,,,,0,250,,,
probit_dep_well,entropy_vector,30,q0.05,bayes,,,,,0,250,,,
probit_dep_well,entropy_vector,30,q0.01,mle,,,,,0,250,,,
probit_dep_well,entropy_vector,30,q0.05,mle,,,,,0,250,,,
probit_dep_well,entropy_mu,20,mu,bayes,0.8226508758352452,0.08553502837488848,-0.03770923690063073,0.9070010340871972,250,250,0.976,0.009679669415842676,4.891120184096235
probit_dep_well,entropy_mu,20,sigma,bayes,1.41750183404026,0.12818745392741795,0.009521599161655346,1.190588860203328,250,250,0.988,0.006886508549330352,8.72427391754618
probit_dep_well,entropy_mu,20,q0.5,bayes,0.8226508758352452,0.08553502837488848,-0.03770923690063073,0.9070010340871972,250,250,0.976,0.009679669415842676,4.891120184096235
probit_dep_well,entropy_mu,20,q0.95,bayes,4.867768951994818,0.3853648025767548,-0.03483671875116495,2.206302098987085,250,250,0.992,0.005634181395730885,15.83932757081341
